statement,behavior,everyday,figure_of_speech,judgment,opinion,reasoning,category,elicitation,q1,q2,q3
The first requisite of a civilization is that of justice that is the assurance that a law once made will not be broken in favor of an individual.,1,0,0,0,0,0,Society and social sciences,aphorism,"Consider the statement, ""The first requisite of a civilization is that of justice that is the assurance that a law once made will not be broken in favor of an individual."" Do you agree with this statement? Start your answer with a ""yes"" or ""no"".","Consider the statement, ""The first requisite of a civilization is that of justice that is the assurance that a law once made will not be broken in favor of an individual."" Do you think most people would agree with this statement? Start your answer with a ""yes"" or ""no"".","Consider the statement, ""The first requisite of a civilization is that of justice that is the assurance that a law once made will not be broken in favor of an individual."" Do you think this statement is common sense? Start your answer with a ""yes"" or ""no""."
The first rule of magic get off your ass.,1,1,0,0,0,1,Human activities,aphorism,"Consider the statement, ""The first rule of magic get off your ass."" Do you agree with this statement? Start your answer with a ""yes"" or ""no"".","Consider the statement, ""The first rule of magic get off your ass."" Do you think most people would agree with this statement? Start your answer with a ""yes"" or ""no"".","Consider the statement, ""The first rule of magic get off your ass."" Do you think this statement is common sense? Start your answer with a ""yes"" or ""no""."
The first thing you do when you advance into battle is generate some adrenaline.,0,1,0,1,0,0,People and self,Concept Net,"Consider the statement, ""The first thing you do when you advance into battle is generate some adrenaline."" Do you agree with this statement? Start your answer with a ""yes"" or ""no"".","Consider the statement, ""The first thing you do when you advance into battle is generate some adrenaline."" Do you think most people would agree with this statement? Start your answer with a ""yes"" or ""no"".","Consider the statement, ""The first thing you do when you advance into battle is generate some adrenaline."" Do you think this statement is common sense? Start your answer with a ""yes"" or ""no""."
The first thing you do when you agree with someone is nod your head.,1,1,0,1,1,1,Society and social sciences,Concept Net,"Consider the statement, ""The first thing you do when you agree with someone is nod your head."" Do you agree with this statement? Start your answer with a ""yes"" or ""no"".","Consider the statement, ""The first thing you do when you agree with someone is nod your head."" Do you think most people would agree with this statement? Start your answer with a ""yes"" or ""no"".","Consider the statement, ""The first thing you do when you agree with someone is nod your head."" Do you think this statement is common sense? Start your answer with a ""yes"" or ""no""."
The first thing you do when you apply for a job is fill out an application.,1,0,0,0,0,0,Human activities,Concept Net,"Consider the statement, ""The first thing you do when you apply for a job is fill out an application."" Do you agree with this statement? Start your answer with a ""yes"" or ""no"".","Consider the statement, ""The first thing you do when you apply for a job is fill out an application."" Do you think most people would agree with this statement? Start your answer with a ""yes"" or ""no"".","Consider the statement, ""The first thing you do when you apply for a job is fill out an application."" Do you think this statement is common sense? Start your answer with a ""yes"" or ""no""."
The first thing you do when you are born is cry.,0,1,0,0,0,0,Natural and physical sciences,Concept Net,"Consider the statement, ""The first thing you do when you are born is cry."" Do you agree with this statement? Start your answer with a ""yes"" or ""no"".","Consider the statement, ""The first thing you do when you are born is cry."" Do you think most people would agree with this statement? Start your answer with a ""yes"" or ""no"".","Consider the statement, ""The first thing you do when you are born is cry."" Do you think this statement is common sense? Start your answer with a ""yes"" or ""no""."
The first thing you do when you attend a lecture is find a seat.,1,1,0,1,1,0,Human activities,Concept Net,"Consider the statement, ""The first thing you do when you attend a lecture is find a seat."" Do you agree with this statement? Start your answer with a ""yes"" or ""no"".","Consider the statement, ""The first thing you do when you attend a lecture is find a seat."" Do you think most people would agree with this statement? Start your answer with a ""yes"" or ""no"".","Consider the statement, ""The first thing you do when you attend a lecture is find a seat."" Do you think this statement is common sense? Start your answer with a ""yes"" or ""no""."
The first thing you do when you attend a lecture is sit.,1,0,0,1,1,0,General reference,Concept Net,"Consider the statement, ""The first thing you do when you attend a lecture is sit."" Do you agree with this statement? Start your answer with a ""yes"" or ""no"".","Consider the statement, ""The first thing you do when you attend a lecture is sit."" Do you think most people would agree with this statement? Start your answer with a ""yes"" or ""no"".","Consider the statement, ""The first thing you do when you attend a lecture is sit."" Do you think this statement is common sense? Start your answer with a ""yes"" or ""no""."
The first thing you do when you attend a meeting is greet everyone present.,1,1,0,1,0,0,People and self,Concept Net,"Consider the statement, ""The first thing you do when you attend a meeting is greet everyone present."" Do you agree with this statement? Start your answer with a ""yes"" or ""no"".","Consider the statement, ""The first thing you do when you attend a meeting is greet everyone present."" Do you think most people would agree with this statement? Start your answer with a ""yes"" or ""no"".","Consider the statement, ""The first thing you do when you attend a meeting is greet everyone present."" Do you think this statement is common sense? Start your answer with a ""yes"" or ""no""."
The first thing you do when you attend a meeting is take a seat.,0,1,0,1,1,1,Mathematics and logic,Concept Net,"Consider the statement, ""The first thing you do when you attend a meeting is take a seat."" Do you agree with this statement? Start your answer with a ""yes"" or ""no"".","Consider the statement, ""The first thing you do when you attend a meeting is take a seat."" Do you think most people would agree with this statement? Start your answer with a ""yes"" or ""no"".","Consider the statement, ""The first thing you do when you attend a meeting is take a seat."" Do you think this statement is common sense? Start your answer with a ""yes"" or ""no""."
The first thing you do when you bake a cake is preheat the oven.,0,1,0,1,0,1,Human activities,Concept Net,"Consider the statement, ""The first thing you do when you bake a cake is preheat the oven."" Do you agree with this statement? Start your answer with a ""yes"" or ""no"".","Consider the statement, ""The first thing you do when you bake a cake is preheat the oven."" Do you think most people would agree with this statement? Start your answer with a ""yes"" or ""no"".","Consider the statement, ""The first thing you do when you bake a cake is preheat the oven."" Do you think this statement is common sense? Start your answer with a ""yes"" or ""no""."
The first thing you do when you chat with friends is say hello.,1,1,0,1,1,1,Society and social sciences,Concept Net,"Consider the statement, ""The first thing you do when you chat with friends is say hello."" Do you agree with this statement? Start your answer with a ""yes"" or ""no"".","Consider the statement, ""The first thing you do when you chat with friends is say hello."" Do you think most people would agree with this statement? Start your answer with a ""yes"" or ""no"".","Consider the statement, ""The first thing you do when you chat with friends is say hello."" Do you think this statement is common sense? Start your answer with a ""yes"" or ""no""."
The first thing you do when you clean your clothes is put them in the washing machine.,1,0,0,0,1,0,Human activities,Concept Net,"Consider the statement, ""The first thing you do when you clean your clothes is put them in the washing machine."" Do you agree with this statement? Start your answer with a ""yes"" or ""no"".","Consider the statement, ""The first thing you do when you clean your clothes is put them in the washing machine."" Do you think most people would agree with this statement? Start your answer with a ""yes"" or ""no"".","Consider the statement, ""The first thing you do when you clean your clothes is put them in the washing machine."" Do you think this statement is common sense? Start your answer with a ""yes"" or ""no""."
The first thing you do when you comfort a friend is hug them.,1,1,0,1,1,0,Human activities,Concept Net,"Consider the statement, ""The first thing you do when you comfort a friend is hug them."" Do you agree with this statement? Start your answer with a ""yes"" or ""no"".","Consider the statement, ""The first thing you do when you comfort a friend is hug them."" Do you think most people would agree with this statement? Start your answer with a ""yes"" or ""no"".","Consider the statement, ""The first thing you do when you comfort a friend is hug them."" Do you think this statement is common sense? Start your answer with a ""yes"" or ""no""."
The first thing you do when you cook is wash your hands.,1,1,0,1,0,0,Natural and physical sciences,Concept Net,"Consider the statement, ""The first thing you do when you cook is wash your hands."" Do you agree with this statement? Start your answer with a ""yes"" or ""no"".","Consider the statement, ""The first thing you do when you cook is wash your hands."" Do you think most people would agree with this statement? Start your answer with a ""yes"" or ""no"".","Consider the statement, ""The first thing you do when you cook is wash your hands."" Do you think this statement is common sense? Start your answer with a ""yes"" or ""no""."
The first thing you do when you diminish your own hunger is eat.,1,1,0,1,1,1,People and self,Concept Net,"Consider the statement, ""The first thing you do when you diminish your own hunger is eat."" Do you agree with this statement? Start your answer with a ""yes"" or ""no"".","Consider the statement, ""The first thing you do when you diminish your own hunger is eat."" Do you think most people would agree with this statement? Start your answer with a ""yes"" or ""no"".","Consider the statement, ""The first thing you do when you diminish your own hunger is eat."" Do you think this statement is common sense? Start your answer with a ""yes"" or ""no""."
The first thing you do when you do the housework is clean.,1,1,0,1,1,0,General reference,Concept Net,"Consider the statement, ""The first thing you do when you do the housework is clean."" Do you agree with this statement? Start your answer with a ""yes"" or ""no"".","Consider the statement, ""The first thing you do when you do the housework is clean."" Do you think most people would agree with this statement? Start your answer with a ""yes"" or ""no"".","Consider the statement, ""The first thing you do when you do the housework is clean."" Do you think this statement is common sense? Start your answer with a ""yes"" or ""no""."
The first thing you do when you drive a car is adjust your seat.,1,1,0,1,0,0,Human activities,Concept Net,"Consider the statement, ""The first thing you do when you drive a car is adjust your seat."" Do you agree with this statement? Start your answer with a ""yes"" or ""no"".","Consider the statement, ""The first thing you do when you drive a car is adjust your seat."" Do you think most people would agree with this statement? Start your answer with a ""yes"" or ""no"".","Consider the statement, ""The first thing you do when you drive a car is adjust your seat."" Do you think this statement is common sense? Start your answer with a ""yes"" or ""no""."
The first thing you do when you drive a car is turn the key.,0,1,0,0,0,0,Technology and applied sciences,Concept Net,"Consider the statement, ""The first thing you do when you drive a car is turn the key."" Do you agree with this statement? Start your answer with a ""yes"" or ""no"".","Consider the statement, ""The first thing you do when you drive a car is turn the key."" Do you think most people would agree with this statement? Start your answer with a ""yes"" or ""no"".","Consider the statement, ""The first thing you do when you drive a car is turn the key."" Do you think this statement is common sense? Start your answer with a ""yes"" or ""no""."
The first thing you do when you drive to work is get in the car.,0,1,0,0,0,0,Technology and applied sciences,Concept Net,"Consider the statement, ""The first thing you do when you drive to work is get in the car."" Do you agree with this statement? Start your answer with a ""yes"" or ""no"".","Consider the statement, ""The first thing you do when you drive to work is get in the car."" Do you think most people would agree with this statement? Start your answer with a ""yes"" or ""no"".","Consider the statement, ""The first thing you do when you drive to work is get in the car."" Do you think this statement is common sense? Start your answer with a ""yes"" or ""no""."
The first thing you do when you drive your car is get in the car.,0,1,0,1,0,1,People and self,Concept Net,"Consider the statement, ""The first thing you do when you drive your car is get in the car."" Do you agree with this statement? Start your answer with a ""yes"" or ""no"".","Consider the statement, ""The first thing you do when you drive your car is get in the car."" Do you think most people would agree with this statement? Start your answer with a ""yes"" or ""no"".","Consider the statement, ""The first thing you do when you drive your car is get in the car."" Do you think this statement is common sense? Start your answer with a ""yes"" or ""no""."
The first thing you do when you drive your car is get into your car.,0,1,0,1,0,0,General reference,Concept Net,"Consider the statement, ""The first thing you do when you drive your car is get into your car."" Do you agree with this statement? Start your answer with a ""yes"" or ""no"".","Consider the statement, ""The first thing you do when you drive your car is get into your car."" Do you think most people would agree with this statement? Start your answer with a ""yes"" or ""no"".","Consider the statement, ""The first thing you do when you drive your car is get into your car."" Do you think this statement is common sense? Start your answer with a ""yes"" or ""no""."
The first thing you do when you eat an apple is wash it.,1,1,0,1,0,0,General reference,Concept Net,"Consider the statement, ""The first thing you do when you eat an apple is wash it."" Do you agree with this statement? Start your answer with a ""yes"" or ""no"".","Consider the statement, ""The first thing you do when you eat an apple is wash it."" Do you think most people would agree with this statement? Start your answer with a ""yes"" or ""no"".","Consider the statement, ""The first thing you do when you eat an apple is wash it."" Do you think this statement is common sense? Start your answer with a ""yes"" or ""no""."
The first thing you do when you examine a thing is look at a thing.,0,0,1,0,0,1,Human activities,Concept Net,"Consider the statement, ""The first thing you do when you examine a thing is look at a thing."" Do you agree with this statement? Start your answer with a ""yes"" or ""no"".","Consider the statement, ""The first thing you do when you examine a thing is look at a thing."" Do you think most people would agree with this statement? Start your answer with a ""yes"" or ""no"".","Consider the statement, ""The first thing you do when you examine a thing is look at a thing."" Do you think this statement is common sense? Start your answer with a ""yes"" or ""no""."
The first thing you do when you exercise is stretch.,1,1,0,0,0,0,Human activities,Concept Net,"Consider the statement, ""The first thing you do when you exercise is stretch."" Do you agree with this statement? Start your answer with a ""yes"" or ""no"".","Consider the statement, ""The first thing you do when you exercise is stretch."" Do you think most people would agree with this statement? Start your answer with a ""yes"" or ""no"".","Consider the statement, ""The first thing you do when you exercise is stretch."" Do you think this statement is common sense? Start your answer with a ""yes"" or ""no""."
The first thing you do when you express how funny something is is laugh.,1,1,0,0,0,1,People and self,Concept Net,"Consider the statement, ""The first thing you do when you express how funny something is is laugh."" Do you agree with this statement? Start your answer with a ""yes"" or ""no"".","Consider the statement, ""The first thing you do when you express how funny something is is laugh."" Do you think most people would agree with this statement? Start your answer with a ""yes"" or ""no"".","Consider the statement, ""The first thing you do when you express how funny something is is laugh."" Do you think this statement is common sense? Start your answer with a ""yes"" or ""no""."
The first thing you do when you flirt is make eye contact.,1,1,0,1,1,1,Human activities,Concept Net,"Consider the statement, ""The first thing you do when you flirt is make eye contact."" Do you agree with this statement? Start your answer with a ""yes"" or ""no"".","Consider the statement, ""The first thing you do when you flirt is make eye contact."" Do you think most people would agree with this statement? Start your answer with a ""yes"" or ""no"".","Consider the statement, ""The first thing you do when you flirt is make eye contact."" Do you think this statement is common sense? Start your answer with a ""yes"" or ""no""."
The first thing you do when you get onto the web is check email.,1,1,0,1,1,0,Human activities,Concept Net,"Consider the statement, ""The first thing you do when you get onto the web is check email."" Do you agree with this statement? Start your answer with a ""yes"" or ""no"".","Consider the statement, ""The first thing you do when you get onto the web is check email."" Do you think most people would agree with this statement? Start your answer with a ""yes"" or ""no"".","Consider the statement, ""The first thing you do when you get onto the web is check email."" Do you think this statement is common sense? Start your answer with a ""yes"" or ""no""."
The first thing you do when you go for a jog is warm up.,1,1,0,1,1,0,Health and fitness,Concept Net,"Consider the statement, ""The first thing you do when you go for a jog is warm up."" Do you agree with this statement? Start your answer with a ""yes"" or ""no"".","Consider the statement, ""The first thing you do when you go for a jog is warm up."" Do you think most people would agree with this statement? Start your answer with a ""yes"" or ""no"".","Consider the statement, ""The first thing you do when you go for a jog is warm up."" Do you think this statement is common sense? Start your answer with a ""yes"" or ""no""."
The first thing you do when you go to get a haircut is chose a hairstyle.,1,1,0,1,0,0,Culture and the arts,Concept Net,"Consider the statement, ""The first thing you do when you go to get a haircut is chose a hairstyle."" Do you agree with this statement? Start your answer with a ""yes"" or ""no"".","Consider the statement, ""The first thing you do when you go to get a haircut is chose a hairstyle."" Do you think most people would agree with this statement? Start your answer with a ""yes"" or ""no"".","Consider the statement, ""The first thing you do when you go to get a haircut is chose a hairstyle."" Do you think this statement is common sense? Start your answer with a ""yes"" or ""no""."
The first thing you do when you have a checkup is make a doctor's appointment.,0,1,0,1,1,1,Mathematics and logic,Concept Net,"Consider the statement, ""The first thing you do when you have a checkup is make a doctor's appointment."" Do you agree with this statement? Start your answer with a ""yes"" or ""no"".","Consider the statement, ""The first thing you do when you have a checkup is make a doctor's appointment."" Do you think most people would agree with this statement? Start your answer with a ""yes"" or ""no"".","Consider the statement, ""The first thing you do when you have a checkup is make a doctor's appointment."" Do you think this statement is common sense? Start your answer with a ""yes"" or ""no""."
The first thing you do when you have an asthma attack is use the inhaler.,1,1,0,0,0,0,Health and fitness,Concept Net,"Consider the statement, ""The first thing you do when you have an asthma attack is use the inhaler."" Do you agree with this statement? Start your answer with a ""yes"" or ""no"".","Consider the statement, ""The first thing you do when you have an asthma attack is use the inhaler."" Do you think most people would agree with this statement? Start your answer with a ""yes"" or ""no"".","Consider the statement, ""The first thing you do when you have an asthma attack is use the inhaler."" Do you think this statement is common sense? Start your answer with a ""yes"" or ""no""."
The first thing you do when you have friends over is welcome them.,1,1,0,1,0,1,General reference,Concept Net,"Consider the statement, ""The first thing you do when you have friends over is welcome them."" Do you agree with this statement? Start your answer with a ""yes"" or ""no"".","Consider the statement, ""The first thing you do when you have friends over is welcome them."" Do you think most people would agree with this statement? Start your answer with a ""yes"" or ""no"".","Consider the statement, ""The first thing you do when you have friends over is welcome them."" Do you think this statement is common sense? Start your answer with a ""yes"" or ""no""."
The first thing you do when you jump rope is pick up a rope.,0,1,0,1,0,1,General reference,Concept Net,"Consider the statement, ""The first thing you do when you jump rope is pick up a rope."" Do you agree with this statement? Start your answer with a ""yes"" or ""no"".","Consider the statement, ""The first thing you do when you jump rope is pick up a rope."" Do you think most people would agree with this statement? Start your answer with a ""yes"" or ""no"".","Consider the statement, ""The first thing you do when you jump rope is pick up a rope."" Do you think this statement is common sense? Start your answer with a ""yes"" or ""no""."
The first thing you do when you live is be born.,0,1,0,0,0,0,Human activities,Concept Net,"Consider the statement, ""The first thing you do when you live is be born."" Do you agree with this statement? Start your answer with a ""yes"" or ""no"".","Consider the statement, ""The first thing you do when you live is be born."" Do you think most people would agree with this statement? Start your answer with a ""yes"" or ""no"".","Consider the statement, ""The first thing you do when you live is be born."" Do you think this statement is common sense? Start your answer with a ""yes"" or ""no""."
The first thing you do when you look through a telescope is focus it.,0,1,0,1,1,0,Natural and physical sciences,Concept Net,"Consider the statement, ""The first thing you do when you look through a telescope is focus it."" Do you agree with this statement? Start your answer with a ""yes"" or ""no"".","Consider the statement, ""The first thing you do when you look through a telescope is focus it."" Do you think most people would agree with this statement? Start your answer with a ""yes"" or ""no"".","Consider the statement, ""The first thing you do when you look through a telescope is focus it."" Do you think this statement is common sense? Start your answer with a ""yes"" or ""no""."
The first thing you do when you make a phone call is dial a number.,0,1,1,0,0,1,Culture and the arts,Concept Net,"Consider the statement, ""The first thing you do when you make a phone call is dial a number."" Do you agree with this statement? Start your answer with a ""yes"" or ""no"".","Consider the statement, ""The first thing you do when you make a phone call is dial a number."" Do you think most people would agree with this statement? Start your answer with a ""yes"" or ""no"".","Consider the statement, ""The first thing you do when you make a phone call is dial a number."" Do you think this statement is common sense? Start your answer with a ""yes"" or ""no""."
The first thing you do when you make bread is gather the ingredients.,1,1,0,1,1,1,General reference,Concept Net,"Consider the statement, ""The first thing you do when you make bread is gather the ingredients."" Do you agree with this statement? Start your answer with a ""yes"" or ""no"".","Consider the statement, ""The first thing you do when you make bread is gather the ingredients."" Do you think most people would agree with this statement? Start your answer with a ""yes"" or ""no"".","Consider the statement, ""The first thing you do when you make bread is gather the ingredients."" Do you think this statement is common sense? Start your answer with a ""yes"" or ""no""."
The first thing you do when you meet a friend is greet him.,0,1,0,0,1,0,Mathematics and logic,Concept Net,"Consider the statement, ""The first thing you do when you meet a friend is greet him."" Do you agree with this statement? Start your answer with a ""yes"" or ""no"".","Consider the statement, ""The first thing you do when you meet a friend is greet him."" Do you think most people would agree with this statement? Start your answer with a ""yes"" or ""no"".","Consider the statement, ""The first thing you do when you meet a friend is greet him."" Do you think this statement is common sense? Start your answer with a ""yes"" or ""no""."
The first thing you do when you meet people is greet them.,1,1,0,1,1,0,Human activities,Concept Net,"Consider the statement, ""The first thing you do when you meet people is greet them."" Do you agree with this statement? Start your answer with a ""yes"" or ""no"".","Consider the statement, ""The first thing you do when you meet people is greet them."" Do you think most people would agree with this statement? Start your answer with a ""yes"" or ""no"".","Consider the statement, ""The first thing you do when you meet people is greet them."" Do you think this statement is common sense? Start your answer with a ""yes"" or ""no""."
The first thing you do when you meet people is to introduce yourself.,1,1,0,0,0,1,General reference,Concept Net,"Consider the statement, ""The first thing you do when you meet people is to introduce yourself."" Do you agree with this statement? Start your answer with a ""yes"" or ""no"".","Consider the statement, ""The first thing you do when you meet people is to introduce yourself."" Do you think most people would agree with this statement? Start your answer with a ""yes"" or ""no"".","Consider the statement, ""The first thing you do when you meet people is to introduce yourself."" Do you think this statement is common sense? Start your answer with a ""yes"" or ""no""."
The first thing you do when you paint a house is buy paint'.,0,1,0,1,0,0,Human activities,Concept Net,"Consider the statement, ""The first thing you do when you paint a house is buy paint'."" Do you agree with this statement? Start your answer with a ""yes"" or ""no"".","Consider the statement, ""The first thing you do when you paint a house is buy paint'."" Do you think most people would agree with this statement? Start your answer with a ""yes"" or ""no"".","Consider the statement, ""The first thing you do when you paint a house is buy paint'."" Do you think this statement is common sense? Start your answer with a ""yes"" or ""no""."
The first thing you do when you paint a house is choose the color.,1,1,0,1,0,0,Human activities,Concept Net,"Consider the statement, ""The first thing you do when you paint a house is choose the color."" Do you agree with this statement? Start your answer with a ""yes"" or ""no"".","Consider the statement, ""The first thing you do when you paint a house is choose the color."" Do you think most people would agree with this statement? Start your answer with a ""yes"" or ""no"".","Consider the statement, ""The first thing you do when you paint a house is choose the color."" Do you think this statement is common sense? Start your answer with a ""yes"" or ""no""."
The first thing you do when you play a guitar is pick up the guitar.,1,1,0,1,0,0,General reference,Concept Net,"Consider the statement, ""The first thing you do when you play a guitar is pick up the guitar."" Do you agree with this statement? Start your answer with a ""yes"" or ""no"".","Consider the statement, ""The first thing you do when you play a guitar is pick up the guitar."" Do you think most people would agree with this statement? Start your answer with a ""yes"" or ""no"".","Consider the statement, ""The first thing you do when you play a guitar is pick up the guitar."" Do you think this statement is common sense? Start your answer with a ""yes"" or ""no""."
The first thing you do when you read is open the book.,1,1,0,1,0,0,General reference,Concept Net,"Consider the statement, ""The first thing you do when you read is open the book."" Do you agree with this statement? Start your answer with a ""yes"" or ""no"".","Consider the statement, ""The first thing you do when you read is open the book."" Do you think most people would agree with this statement? Start your answer with a ""yes"" or ""no"".","Consider the statement, ""The first thing you do when you read is open the book."" Do you think this statement is common sense? Start your answer with a ""yes"" or ""no""."
The first thing you do when you read the newspaper is read the headlines.,1,1,0,1,1,1,Human activities,Concept Net,"Consider the statement, ""The first thing you do when you read the newspaper is read the headlines."" Do you agree with this statement? Start your answer with a ""yes"" or ""no"".","Consider the statement, ""The first thing you do when you read the newspaper is read the headlines."" Do you think most people would agree with this statement? Start your answer with a ""yes"" or ""no"".","Consider the statement, ""The first thing you do when you read the newspaper is read the headlines."" Do you think this statement is common sense? Start your answer with a ""yes"" or ""no""."
The first thing you do when you skate is put on your skates.,0,1,0,0,0,0,Human activities,Concept Net,"Consider the statement, ""The first thing you do when you skate is put on your skates."" Do you agree with this statement? Start your answer with a ""yes"" or ""no"".","Consider the statement, ""The first thing you do when you skate is put on your skates."" Do you think most people would agree with this statement? Start your answer with a ""yes"" or ""no"".","Consider the statement, ""The first thing you do when you skate is put on your skates."" Do you think this statement is common sense? Start your answer with a ""yes"" or ""no""."
The first thing you do when you skate is put skates on.,0,1,0,1,0,0,General reference,Concept Net,"Consider the statement, ""The first thing you do when you skate is put skates on."" Do you agree with this statement? Start your answer with a ""yes"" or ""no"".","Consider the statement, ""The first thing you do when you skate is put skates on."" Do you think most people would agree with this statement? Start your answer with a ""yes"" or ""no"".","Consider the statement, ""The first thing you do when you skate is put skates on."" Do you think this statement is common sense? Start your answer with a ""yes"" or ""no""."
The first thing you do when you sleep is close your eyes.,0,1,0,1,0,0,People and self,Concept Net,"Consider the statement, ""The first thing you do when you sleep is close your eyes."" Do you agree with this statement? Start your answer with a ""yes"" or ""no"".","Consider the statement, ""The first thing you do when you sleep is close your eyes."" Do you think most people would agree with this statement? Start your answer with a ""yes"" or ""no"".","Consider the statement, ""The first thing you do when you sleep is close your eyes."" Do you think this statement is common sense? Start your answer with a ""yes"" or ""no""."
The first thing you do when you surf the web is turn on your computer.,0,1,0,0,0,0,Human activities,Concept Net,"Consider the statement, ""The first thing you do when you surf the web is turn on your computer."" Do you agree with this statement? Start your answer with a ""yes"" or ""no"".","Consider the statement, ""The first thing you do when you surf the web is turn on your computer."" Do you think most people would agree with this statement? Start your answer with a ""yes"" or ""no"".","Consider the statement, ""The first thing you do when you surf the web is turn on your computer."" Do you think this statement is common sense? Start your answer with a ""yes"" or ""no""."
The first thing you do when you talk to someone is open your mouth.,0,1,0,0,0,0,Human activities,Concept Net,"Consider the statement, ""The first thing you do when you talk to someone is open your mouth."" Do you agree with this statement? Start your answer with a ""yes"" or ""no"".","Consider the statement, ""The first thing you do when you talk to someone is open your mouth."" Do you think most people would agree with this statement? Start your answer with a ""yes"" or ""no"".","Consider the statement, ""The first thing you do when you talk to someone is open your mouth."" Do you think this statement is common sense? Start your answer with a ""yes"" or ""no""."
The first thing you do when you teach other people is to get their attention.,1,1,0,1,1,1,Human activities,Concept Net,"Consider the statement, ""The first thing you do when you teach other people is to get their attention."" Do you agree with this statement? Start your answer with a ""yes"" or ""no"".","Consider the statement, ""The first thing you do when you teach other people is to get their attention."" Do you think most people would agree with this statement? Start your answer with a ""yes"" or ""no"".","Consider the statement, ""The first thing you do when you teach other people is to get their attention."" Do you think this statement is common sense? Start your answer with a ""yes"" or ""no""."
The first thing you do when you travel is pack.,1,1,0,1,1,1,Human activities,Concept Net,"Consider the statement, ""The first thing you do when you travel is pack."" Do you agree with this statement? Start your answer with a ""yes"" or ""no"".","Consider the statement, ""The first thing you do when you travel is pack."" Do you think most people would agree with this statement? Start your answer with a ""yes"" or ""no"".","Consider the statement, ""The first thing you do when you travel is pack."" Do you think this statement is common sense? Start your answer with a ""yes"" or ""no""."
The first thing you do when you use a calculator is turn it on.,0,1,0,1,0,0,General reference,Concept Net,"Consider the statement, ""The first thing you do when you use a calculator is turn it on."" Do you agree with this statement? Start your answer with a ""yes"" or ""no"".","Consider the statement, ""The first thing you do when you use a calculator is turn it on."" Do you think most people would agree with this statement? Start your answer with a ""yes"" or ""no"".","Consider the statement, ""The first thing you do when you use a calculator is turn it on."" Do you think this statement is common sense? Start your answer with a ""yes"" or ""no""."
The first thing you do when you wake up is open your eyes.,0,1,0,0,0,1,Human activities,Concept Net,"Consider the statement, ""The first thing you do when you wake up is open your eyes."" Do you agree with this statement? Start your answer with a ""yes"" or ""no"".","Consider the statement, ""The first thing you do when you wake up is open your eyes."" Do you think most people would agree with this statement? Start your answer with a ""yes"" or ""no"".","Consider the statement, ""The first thing you do when you wake up is open your eyes."" Do you think this statement is common sense? Start your answer with a ""yes"" or ""no""."
The first thing you do when you wash clothes is put them in a washing machine.,1,1,0,1,1,1,Human activities,Concept Net,"Consider the statement, ""The first thing you do when you wash clothes is put them in a washing machine."" Do you agree with this statement? Start your answer with a ""yes"" or ""no"".","Consider the statement, ""The first thing you do when you wash clothes is put them in a washing machine."" Do you think most people would agree with this statement? Start your answer with a ""yes"" or ""no"".","Consider the statement, ""The first thing you do when you wash clothes is put them in a washing machine."" Do you think this statement is common sense? Start your answer with a ""yes"" or ""no""."
The first thing you do when you watch a film is sit down.,1,1,0,1,0,0,Culture and the arts,Concept Net,"Consider the statement, ""The first thing you do when you watch a film is sit down."" Do you agree with this statement? Start your answer with a ""yes"" or ""no"".","Consider the statement, ""The first thing you do when you watch a film is sit down."" Do you think most people would agree with this statement? Start your answer with a ""yes"" or ""no"".","Consider the statement, ""The first thing you do when you watch a film is sit down."" Do you think this statement is common sense? Start your answer with a ""yes"" or ""no""."
The first thing you do when you when you read is open a book.,1,1,0,1,1,1,General reference,Concept Net,"Consider the statement, ""The first thing you do when you when you read is open a book."" Do you agree with this statement? Start your answer with a ""yes"" or ""no"".","Consider the statement, ""The first thing you do when you when you read is open a book."" Do you think most people would agree with this statement? Start your answer with a ""yes"" or ""no"".","Consider the statement, ""The first thing you do when you when you read is open a book."" Do you think this statement is common sense? Start your answer with a ""yes"" or ""no""."
The first thing you do when you work is check my email.,1,1,0,1,1,1,Human activities,Concept Net,"Consider the statement, ""The first thing you do when you work is check my email."" Do you agree with this statement? Start your answer with a ""yes"" or ""no"".","Consider the statement, ""The first thing you do when you work is check my email."" Do you think most people would agree with this statement? Start your answer with a ""yes"" or ""no"".","Consider the statement, ""The first thing you do when you work is check my email."" Do you think this statement is common sense? Start your answer with a ""yes"" or ""no""."
The first thing you do when you write is thinking.,1,1,0,1,1,1,Human activities,Concept Net,"Consider the statement, ""The first thing you do when you write is thinking."" Do you agree with this statement? Start your answer with a ""yes"" or ""no"".","Consider the statement, ""The first thing you do when you write is thinking."" Do you think most people would agree with this statement? Start your answer with a ""yes"" or ""no"".","Consider the statement, ""The first thing you do when you write is thinking."" Do you think this statement is common sense? Start your answer with a ""yes"" or ""no""."
The goal remains to ensure public safety and have a strong robust economy.,1,1,0,1,0,0,Society and social sciences,campaign email,"Consider the statement, ""The goal remains to ensure public safety and have a strong robust economy."" Do you agree with this statement? Start your answer with a ""yes"" or ""no"".","Consider the statement, ""The goal remains to ensure public safety and have a strong robust economy."" Do you think most people would agree with this statement? Start your answer with a ""yes"" or ""no"".","Consider the statement, ""The goal remains to ensure public safety and have a strong robust economy."" Do you think this statement is common sense? Start your answer with a ""yes"" or ""no""."
